Wavelength_nm,Core_Albedo,Core_g,Core_HG_Albedo,Core_HG_g,CoreShell_Albedo,CoreShell_g,CoreShell_HG_Albedo,CoreShell_HG_g,Delta_Albedo,Delta_g,Delta_Total_CS
400.000000,1.000000,0.704828,1.000000,0.768612,0.628100,0.762220,0.696150,0.804911,-0.371900,0.057391,38822.727192
410.000000,1.000000,0.720633,1.000000,0.772220,0.640124,0.773481,0.735360,0.798790,-0.359876,0.052848,-64197.912398
420.000000,1.000000,0.714114,1.000000,0.769369,0.652662,0.783541,0.764804,0.793197,-0.347338,0.069427,-138887.585030
430.000000,1.000000,0.698824,1.000000,0.758616,0.659222,0.793210,0.785829,0.787771,-0.340778,0.094386,-84767.394714
440.000000,1.000000,0.699896,1.000000,0.746643,0.661413,0.803101,0.807451,0.782044,-0.338587,0.103206,29895.984497
450.000000,1.000000,0.714880,1.000000,0.741155,0.662543,0.813057,0.834055,0.776029,-0.337457,0.098176,83977.196561
460.000000,1.000000,0.729038,1.000000,0.740618,0.664380,0.822098,0.862532,0.770153,-0.335620,0.093060,76690.246920
470.000000,1.000000,0.737657,1.000000,0.741453,0.667073,0.827777,0.887304,0.764840,-0.332927,0.090120,36603.333522
480.000000,1.000000,0.740544,1.000000,0.741567,0.669490,0.827585,0.903266,0.760452,-0.330510,0.087041,-13050.338112
490.000000,1.000000,0.737854,1.000000,0.739515,0.672409,0.820762,0.909620,0.757121,-0.327591,0.082907,-39586.176741
500.000000,1.000000,0.731200,1.000000,0.734222,0.676825,0.809663,0.908964,0.754690,-0.323175,0.078463,-6707.289802
510.000000,1.000000,0.725048,1.000000,0.725800,0.682868,0.801114,0.907847,0.752527,-0.317132,0.076066,91875.057232
520.000000,1.000000,0.723806,1.000000,0.716214,0.696398,0.797690,0.918786,0.749398,-0.303602,0.073884,218984.683845
530.000000,1.000000,0.727849,1.000000,0.708005,0.723483,0.797651,0.953580,0.743986,-0.276517,0.069802,336182.624780
540.000000,1.000000,0.733918,1.000000,0.702351,0.763524,0.795959,1.008410,0.736919,-0.236476,0.062040,443521.031014
550.000000,1.000000,0.739268,1.000000,0.698939,0.809963,0.785294,1.062605,0.728720,-0.190037,0.046026,517285.761845
560.000000,1.000000,0.742749,1.000000,0.696932,0.856161,0.767083,1.104682,0.719763,-0.143839,0.024334,529761.806537
570.000000,1.000000,0.744188,1.000000,0.695550,0.893672,0.754622,1.140150,0.712046,-0.106328,0.010434,525661.397735
580.000000,1.000000,0.743631,1.000000,0.694154,0.919507,0.751380,1.171370,0.707263,-0.080493,0.007748,563575.427473
590.000000,1.000000,0.741057,1.000000,0.692200,0.935419,0.752006,1.194832,0.704591,-0.064581,0.010949,646453.096668
600.000000,1.000000,0.736459,1.000000,0.689222,0.945773,0.751359,1.209719,0.702078,-0.054227,0.014900,743774.070653
610.000000,1.000000,0.730082,1.000000,0.684883,0.953766,0.746753,1.216751,0.698142,-0.046234,0.016671,814460.828669
620.000000,1.000000,0.722615,1.000000,0.679072,0.961213,0.739076,1.219704,0.691772,-0.038787,0.016462,834380.398818
630.000000,1.000000,0.715128,1.000000,0.671986,0.968562,0.731885,1.224416,0.682849,-0.031438,0.016757,814641.577633
640.000000,1.000000,0.708753,1.000000,0.664122,0.975144,0.728796,1.234711,0.672713,-0.024856,0.020043,790432.722077
650.000000,1.000000,0.704271,1.000000,0.656130,0.980837,0.730178,1.249548,0.663496,-0.019163,0.025907,787677.651761
660.000000,1.000000,0.701916,1.000000,0.648617,0.984986,0.734494,1.264583,0.656577,-0.015014,0.032578,809415.668006
670.000000,1.000000,0.701438,1.000000,0.641989,0.987948,0.739449,1.277116,0.652024,-0.012052,0.038011,847719.566780
680.000000,1.000000,0.702328,1.000000,0.636410,0.989856,0.743807,1.286277,0.649224,-0.010144,0.041479,892917.487045
690.000000,1.000000,0.704035,1.000000,0.631855,0.991287,0.746818,1.292567,0.647444,-0.008713,0.042783,937176.632609
700.000000,1.000000,0.706088,1.000000,0.628179,0.992091,0.748577,1.296313,0.646088,-0.007909,0.042489,973358.869571
710.000000,1.000000,0.708130,1.000000,0.625192,0.992586,0.748955,1.298045,0.644695,-0.007414,0.040824,995905.271569
720.000000,1.000000,0.709901,1.000000,0.622690,0.992928,0.747950,1.298041,0.642916,-0.007072,0.038049,1000561.923737
730.000000,1.000000,0.711200,1.000000,0.620480,0.993176,0.745628,1.296430,0.640479,-0.006824,0.034428,985379.339041
740.000000,1.000000,0.711854,1.000000,0.618381,0.993381,0.742121,1.293400,0.637195,-0.006619,0.030267,952612.724771
750.000000,1.000000,0.711701,1.000000,0.616229,0.993659,0.737699,1.289397,0.632947,-0.006341,0.025997,907847.034941
