Wavelength_nm,Computed_Albedo,Computed_g,Total_CrossSection,HG_Albedo,HG_g
400.000000,1.000000,0.704828,1309726.540782,1.000000,0.768612
410.000000,1.000000,0.720633,1468988.785959,1.000000,0.772220
420.000000,1.000000,0.714114,1598229.011862,1.000000,0.769369
430.000000,1.000000,0.698824,1586306.994947,1.000000,0.758616
440.000000,1.000000,0.699896,1504740.938393,1.000000,0.746643
450.000000,1.000000,0.714880,1484071.244495,1.000000,0.741155
460.000000,1.000000,0.729038,1529380.853372,1.000000,0.740618
470.000000,1.000000,0.737657,1610187.844185,1.000000,0.741453
480.000000,1.000000,0.740544,1697908.127944,1.000000,0.741567
490.000000,1.000000,0.737854,1758552.325134,1.000000,0.739515
500.000000,1.000000,0.731200,1760514.416442,1.000000,0.734222
510.000000,1.000000,0.725048,1707425.478052,1.000000,0.725800
520.000000,1.000000,0.723806,1642020.114779,1.000000,0.716214
530.000000,1.000000,0.727849,1601117.881466,1.000000,0.708005
540.000000,1.000000,0.733918,1592895.172873,1.000000,0.702351
550.000000,1.000000,0.739268,1609543.416248,1.000000,0.698939
560.000000,1.000000,0.742749,1640144.960739,1.000000,0.696932
570.000000,1.000000,0.744188,1674436.203914,1.000000,0.695550
580.000000,1.000000,0.743631,1702701.829683,1.000000,0.694154
590.000000,1.000000,0.741057,1715921.748665,1.000000,0.692200
600.000000,1.000000,0.736459,1707622.108728,1.000000,0.689222
610.000000,1.000000,0.730082,1676713.677764,1.000000,0.684883
620.000000,1.000000,0.722615,1628830.753857,1.000000,0.679072
630.000000,1.000000,0.715128,1574149.084809,1.000000,0.671986
640.000000,1.000000,0.708753,1522862.596763,1.000000,0.664122
650.000000,1.000000,0.704271,1481715.113043,1.000000,0.656130
660.000000,1.000000,0.701916,1453192.215645,1.000000,0.648617
670.000000,1.000000,0.701438,1436618.665339,1.000000,0.641989
680.000000,1.000000,0.702328,1429673.067844,1.000000,0.636410
690.000000,1.000000,0.704035,1429457.739431,1.000000,0.631855
700.000000,1.000000,0.706088,1433093.730075,1.000000,0.628179
710.000000,1.000000,0.708130,1437933.351672,1.000000,0.625192
720.000000,1.000000,0.709901,1441646.776827,1.000000,0.622690
730.000000,1.000000,0.711200,1442222.607458,1.000000,0.620480
740.000000,1.000000,0.711854,1438043.420900,1.000000,0.618381
750.000000,1.000000,0.711701,1427974.199925,1.000000,0.616229
