Wavelength_nm,Computed_Albedo,Computed_g,Total_CrossSection,HG_Albedo,HG_g
400.000000,0.628100,0.762220,1348549.267973,0.696150,0.804911
410.000000,0.640124,0.773481,1404790.873560,0.735360,0.798790
420.000000,0.652662,0.783541,1459341.426832,0.764804,0.793197
430.000000,0.659222,0.793210,1501539.600233,0.785829,0.787771
440.000000,0.661413,0.803101,1534636.922890,0.807451,0.782044
450.000000,0.662543,0.813057,1568048.441056,0.834055,0.776029
460.000000,0.664380,0.822098,1606071.100292,0.862532,0.770153
470.000000,0.667073,0.827777,1646791.177707,0.887304,0.764840
480.000000,0.669490,0.827585,1684857.789832,0.903266,0.760452
490.000000,0.672409,0.820762,1718966.148394,0.909620,0.757121
500.000000,0.676825,0.809663,1753807.126640,0.908964,0.754690
510.000000,0.682868,0.801114,1799300.535284,0.907847,0.752527
520.000000,0.696398,0.797690,1861004.798624,0.918786,0.749398
530.000000,0.723483,0.797651,1937300.506246,0.953580,0.743986
540.000000,0.763524,0.795959,2036416.203887,1.008410,0.736919
550.000000,0.809963,0.785294,2126829.178093,1.062605,0.728720
560.000000,0.856161,0.767083,2169906.767276,1.104682,0.719763
570.000000,0.893672,0.754622,2200097.601648,1.140150,0.712046
580.000000,0.919507,0.751380,2266277.257156,1.171370,0.707263
590.000000,0.935419,0.752006,2362374.845333,1.194832,0.704591
600.000000,0.945773,0.751359,2451396.179381,1.209719,0.702078
610.000000,0.953766,0.746753,2491174.506432,1.216751,0.698142
620.000000,0.961213,0.739076,2463211.152675,1.219704,0.691772
630.000000,0.968562,0.731885,2388790.662442,1.224416,0.682849
640.000000,0.975144,0.728796,2313295.318840,1.234711,0.672713
650.000000,0.980837,0.730178,2269392.764804,1.249548,0.663496
660.000000,0.984986,0.734494,2262607.883651,1.264583,0.656577
670.000000,0.987948,0.739449,2284338.232119,1.277116,0.652024
680.000000,0.989856,0.743807,2322590.554889,1.286277,0.649224
690.000000,0.991287,0.746818,2366634.372040,1.292567,0.647444
700.000000,0.992091,0.748577,2406452.599646,1.296313,0.646088
710.000000,0.992586,0.748955,2433838.623241,1.298045,0.644695
720.000000,0.992928,0.747950,2442208.700564,1.298041,0.642916
730.000000,0.993176,0.745628,2427601.946499,1.296430,0.640479
740.000000,0.993381,0.742121,2390656.145671,1.293400,0.637195
750.000000,0.993659,0.737699,2335821.234866,1.289397,0.632947
